PARAHNYA DIKASI TEPUK TANGAN LAGI  BOS!!!;0,0
RT @KontraS: Hai! Berjumpa lagi dengan KontraS yang akan kembali 'nyicil' membahas Laporan Evaluasi 4 Tahun Kinerja Pemerintahan @Jokowi –…;1,1
RT @fadlizon: Bohong lagi bohong lagi. Mikrofon dimatikan dulu dong P LBP. https://t.co/eeAUEIzLAc;0,0
"RT @TheCebongers: Prawobo sentil Jokowi ""Ugal2an. Lalu"" Bung Adian membalas bukan sentilan tapi pukulan telak ke ""Prabowo! Pemerintahan"" yg ug…;0",0
RT @bangzul_1988: @JajangRidwan19 @Hadisang70 @budimandjatmiko Saya melihat dari dalam diri bung @budimandjatmiko ini beliau sgt ingin pu…, 
RT @narkosun: Jokowi dibilang ugal2an. jadi yg membangun infrastruktur bagi2 sertifikat lapangan kerja pembangkit listrik jalan tol be…;0,0
RT @IreneViena: Jika saya dapat membuktikan keputusan pemerintah terkait takeover saham mayority freeport yg dilakukan sekarang adalah tind…;1,1
"RT @fariji_lacak: Sdh Kubilang Dari ""AWAL. Demokrat PKS &amp; PAN, FOKUS pd PILLEG ketimbang PILPRES. 1.Mereka"" tdk ingin kehilangan Wakilnya di…;0",0
RT @mkhumaini: Hampir genap empat tahun pemerintah mencatatkan total utang mencapai Rp4.416 triliun naik sekitar Rp1.815 triliun dari pos…;0,0
"jokowi Siapa pun Cawapres  intinya Jokowi harus @jokowi 2 periode. "";1",1
